 0, 39
S, 0.250000, 0.000000, 0.000000, 3.000000, 32.000000
S, 5.000000, 0.266667, 0.066667, 2.533333, 2.666667
G, 5.333333, 0.250000, 0.187500, 1.750000, 2.062500
S, 7.333333, 0.090909, 0.227273, 2.227273, 2.545455
G, 6.666667, 0.100000, 0.100000, 1.250000, 1.400000
S, 7.000000, 0.142857, 0.047619, 2.095238, 2.238095
G, 8.333333, 0.120000, 0.280000, 0.960000, 1.280000
S, 9.666667, 0.034483, 0.068966, 2.310345, 2.448276
G, 5.666667, 0.058824, 0.058824, 1.294118, 1.411765
S, 0.666667, 1.500000, 3.500000, 38.000000, 81.000000
G, 1.333333, 0.750000, 3.250000, 18.250000, 28.750000
S, 3.000000, 0.000000, 1.555556, 13.000000, 14.777778
G, 2.333333, 0.000000, 2.714286, 1.142857, 3.857143
S, 6.000000, 0.000000, 0.055556, 2.222222, 2.333333
G, 8.333333, 0.000000, 0.080000, 1.520000, 1.680000
S, 8.000000, 0.041667, 0.041667, 2.208333, 2.333333
G, 7.333333, 0.045455, 0.090909, 1.272727, 1.409091
S, 7.000000, 0.095238, 0.047619, 2.095238, 2.238095
G, 8.666667, 0.076923, 0.076923, 1.346154, 1.461538
S, 10.000000, 0.100000, 0.066667, 2.133333, 2.233333
G, 7.333333, 0.136364, 0.045455, 1.272727, 1.409091
S, 10.000000, 0.033333, 0.066667, 2.366667, 2.466667
G, 6.666667, 0.050000, 0.100000, 1.200000, 1.350000
S, 8.666667, 0.000000, 0.076923, 2.500000, 2.653846
G, 7.000000, 0.000000, 0.047619, 1.571429, 1.666667
S, 8.333333, 0.160000, 0.040000, 2.280000, 2.360000
G, 7.666667, 0.173913, 0.086957, 1.304348, 1.434783
S, 5.000000, 0.333333, 0.066667, 3.533333, 3.866667
G, 10.666667, 0.156250, 0.406250, 1.562500, 2.000000
S, 8.333333, 0.160000, 0.080000, 2.040000, 2.160000
G, 9.666667, 0.137931, 0.068966, 1.310345, 1.448276
S, 8.666667, 0.038462, 0.038462, 2.269231, 2.346154
G, 7.000000, 0.047619, 0.095238, 1.285714, 1.380952
S, 6.666667, 0.000000, 0.050000, 2.250000, 2.350000
G, 9.333333, 0.000000, 0.107143, 1.321429, 1.464286
S, 8.000000, 0.541667, 0.083333, 2.125000, 2.291667
G, 11.333333, 0.382353, 0.147059, 1.147059, 1.382353
S, 8.333333, 0.160000, 0.080000, 3.280000, 3.400000
G, 7.666667, 0.173913, 0.086957, 1.043478, 1.217391
 1, 39
S, 0.250000, 0.000000, 2.000000, 2.000000, 27.000000
S, 5.333333, 0.062500, 0.125000, 2.937500, 3.125000
G, 4.333333, 0.076923, 0.230769, 1.153846, 1.538462
S, 7.333333, 0.181818, 0.045455, 2.136364, 2.272727
G, 7.666667, 0.173913, 0.086957, 1.000000, 1.173913
S, 7.333333, 0.045455, 0.045455, 2.454545, 2.545455
G, 7.333333, 0.045455, 0.090909, 1.090909, 1.272727
S, 10.333333, 0.129032, 0.161290, 3.774194, 4.645161
G, 5.333333, 0.250000, 0.062500, 1.312500, 1.437500
S, 1.333333, 0.000000, 6.500000, 42.250000, 49.000000
G, 0.333333, 0.000000, 9.000000, 3.000000, 13.000000
S, 4.000000, 0.250000, 0.000000, 6.083333, 6.166667
G, 5.333333, 0.187500, 0.062500, 3.125000, 3.187500
S, 7.000000, 0.095238, 0.095238, 2.285714, 2.428571
G, 8.333333, 0.080000, 0.280000, 3.360000, 3.720000
S, 6.333333, 0.000000, 0.000000, 2.789474, 2.894737
G, 8.000000, 0.000000, 0.083333, 1.083333, 1.208333
S, 8.333333, 0.120000, 0.080000, 2.360000, 2.480000
G, 8.666667, 0.115385, 0.076923, 1.153846, 1.307692
S, 9.333333, 0.035714, 0.250000, 2.357143, 2.678571
G, 7.333333, 0.045455, 0.090909, 1.318182, 1.454545
S, 7.333333, 0.227273, 0.090909, 2.090909, 2.272727
G, 9.666667, 0.172414, 0.206897, 1.275862, 1.517241
S, 8.000000, 0.291667, 0.083333, 2.291667, 2.416667
G, 9.333333, 0.250000, 0.142857, 1.214286, 1.392857
S, 8.000000, 0.416667, 0.083333, 2.208333, 2.375000
G, 9.666667, 0.344828, 0.068966, 1.310345, 1.413793
S, 8.333333, 0.000000, 0.040000, 2.120000, 2.200000
G, 8.000000, 0.000000, 0.083333, 1.250000, 1.375000
S, 8.000000, 0.041667, 0.041667, 2.250000, 2.375000
G, 9.000000, 0.037037, 0.111111, 1.407407, 1.555556
S, 7.666667, 0.086957, 0.043478, 2.260870, 2.347826
G, 9.000000, 0.074074, 0.111111, 1.370370, 1.481481
S, 9.000000, 0.259259, 0.074074, 2.333333, 2.444444
G, 9.000000, 0.259259, 0.074074, 1.185185, 1.333333
S, 11.666667, 0.200000, 0.114286, 2.142857, 2.342857
G, 8.000000, 0.291667, 0.125000, 1.375000, 1.666667
S, 9.333333, 0.071429, 0.071429, 2.357143, 2.500000
G, 7.000000, 0.095238, 0.095238, 1.571429, 1.714286
 2, 39
S, 0.250000, 0.000000, 2.000000, 3.000000, 22.000000
S, 5.666667, 0.117647, 0.235294, 2.882353, 3.176471
G, 4.666667, 0.142857, 0.142857, 1.500000, 1.714286
S, 6.666667, 0.000000, 1.050000, 2.400000, 3.500000
G, 7.666667, 0.000000, 0.173913, 1.304348, 1.521739
S, 9.333333, 0.035714, 0.142857, 2.214286, 2.428571
G, 5.666667, 0.058824, 0.117647, 1.235294, 1.411765
S, 7.333333, 0.000000, 0.090909, 2.181818, 2.318182
G, 7.000000, 0.000000, 0.095238, 1.380952, 1.523810
S, 1.333333, 0.250000, 12.250000, 21.750000, 34.000000
G, 1.000000, 0.333333, 9.333333, 20.666667, 30.000000
S, 3.666667, 0.090909, 0.727273, 4.181818, 5.000000
G, 2.666667, 0.125000, 0.000000, 1.250000, 1.250000
S, 9.000000, 0.074074, 0.037037, 2.407407, 2.481481
G, 6.333333, 0.105263, 0.052632, 1.684211, 1.789474
S, 7.666667, 0.086957, 0.043478, 2.173913, 2.304348
G, 7.333333, 0.090909, 0.090909, 1.318182, 1.454545
S, 6.666667, 0.050000, 0.050000, 2.200000, 2.300000
G, 9.666667, 0.034483, 0.068966, 1.379310, 1.517241
S, 8.333333, 0.240000, 0.040000, 2.280000, 2.400000
G, 9.666667, 0.206897, 0.103448, 1.379310, 1.517241
S, 8.000000, 0.041667, 0.041667, 2.125000, 2.208333
G, 9.000000, 0.037037, 0.074074, 1.296296, 1.444444
S, 8.666667, 0.115385, 0.076923, 2.269231, 2.384615
G, 8.666667, 0.115385, 0.115385, 0.961538, 1.115385
S, 8.666667, 0.192308, 0.076923, 2.192308, 2.307692
G, 8.000000, 0.208333, 0.125000, 1.166667, 1.333333
S, 7.000000, 0.047619, 0.047619, 2.238095, 2.333333
G, 9.333333, 0.035714, 0.071429, 1.464286, 1.571429
S, 11.333333, 0.029412, 0.058824, 2.176471, 2.264706
G, 5.666667, 0.058824, 0.058824, 1.235294, 1.411765
S, 8.333333, 0.160000, 0.040000, 2.240000, 2.320000
G, 9.000000, 0.148148, 0.111111, 1.407407, 1.555556
S, 8.000000, 0.041667, 0.041667, 2.291667, 2.416667
G, 7.666667, 0.043478, 0.260870, 1.434783, 1.695652
S, 8.333333, 0.440000, 0.080000, 2.480000, 2.600000
G, 12.000000, 0.305556, 0.500000, 1.083333, 1.638889
S, 8.333333, 0.080000, 0.040000, 2.600000, 2.680000
