 0, 39
G, 66.666667, 17.345000, 2.030000, 3.665000, 5.785000
S, 61.666667, 21.918919, 2.518919, 4.140541, 6.778378
G, 69.333333, 19.495192, 2.221154, 3.846154, 6.177885
S, 69.000000, 19.111111, 2.009662, 4.275362, 6.338164
G, 64.000000, 20.604167, 1.921875, 3.609375, 5.572917
S, 68.000000, 17.955882, 2.024510, 3.838235, 5.916667
G, 68.333333, 17.868293, 2.448780, 3.297561, 5.785366
S, 71.333333, 20.182243, 2.205607, 3.948598, 6.242991
G, 65.333333, 22.035714, 2.091837, 3.581633, 5.714286
S, 67.666667, 21.113300, 2.083744, 4.073892, 6.310345
G, 65.333333, 21.867347, 2.137755, 3.586735, 5.765306
S, 60.000000, 21.227778, 1.966667, 4.794444, 6.850000
G, 65.666667, 19.395939, 2.065990, 3.964467, 6.086294
S, 64.000000, 18.505208, 1.968750, 4.369792, 6.390625
G, 65.000000, 18.220513, 2.600000, 3.841026, 6.512821
S, 62.000000, 16.817204, 1.956989, 4.456989, 6.510753
G, 59.333333, 17.573034, 2.292135, 3.808989, 6.146067
S, 29.000000, 27.620690, 5.436782, 6.862069, 12.356322
G, 40.000000, 20.025000, 5.033333, 6.100000, 11.791667
S, 63.333333, 16.273684, 2.284211, 4.731579, 7.073684
G, 53.666667, 19.204969, 2.080745, 4.186335, 6.310559
S, 66.666667, 19.450000, 2.295000, 4.500000, 6.850000
G, 59.666667, 21.731844, 2.206704, 3.709497, 5.955307
S, 54.000000, 20.629630, 1.864198, 4.839506, 6.753086
G, 59.666667, 18.670391, 2.357542, 4.134078, 6.569832
S, 61.333333, 20.114130, 2.331522, 4.402174, 6.788043
G, 62.000000, 19.897849, 1.951613, 3.908602, 5.940860
S, 63.666667, 19.811518, 2.141361, 4.057592, 6.267016
G, 66.666667, 18.920000, 2.135000, 3.240000, 5.420000
S, 75.666667, 17.101322, 2.105727, 4.378855, 6.568282
G, 55.000000, 23.527273, 2.406061, 3.527273, 5.975758
S, 65.666667, 21.131980, 2.284264, 3.939086, 6.279188
G, 65.666667, 21.131980, 2.025381, 3.527919, 5.629442
S, 68.333333, 20.097561, 2.434146, 4.048780, 6.619512
G, 61.666667, 22.270270, 2.086486, 3.518919, 5.648649
 3, 39
S, 0.250000, 1.000000, 1.000000, 14.000000, 34.000000
S, 55.666667, 31.526946, 3.449102, 4.604790, 8.155689
G, 52.000000, 33.750000, 3.102564, 4.608974, 8.442308
S, 56.666667, 19.258824, 2.094118, 4.158824, 6.388235
G, 67.666667, 16.128079, 2.137931, 3.591133, 5.812808
S, 64.333333, 20.170984, 2.020725, 3.839378, 5.911917
G, 69.000000, 18.806763, 1.961353, 3.256039, 5.260870
S, 65.666667, 19.583756, 2.360406, 4.314721, 6.761421
G, 70.000000, 18.371429, 1.866667, 3.433333, 5.376190
S, 66.333333, 21.055276, 1.919598, 4.276382, 6.251256
G, 74.333333, 18.789238, 2.322870, 3.269058, 5.659193
